1,0
2,0
3,0
4,1
5,1
6,1
7,2
8,2
9,2
10,3
11,3
12,3
13,4
14,4
15,4
16,5
17,4
18,5
19,5
20,6
21,6
22,6
23,6
24,7
25,7
26,7
27,8
28,8
29,8
30,8
31,8
32,8
33,9
34,9
35,10
36,9
37,9
38,9
39,10
40,11
41,10
42,10
43,11
44,12
45,12
46,11
47,11
48,12
49,12
50,11
51,12
52,11
53,12
54,12
55,13
56,12
57,13
58,12
59,13
60,14
61,14
62,14
63,15
64,14
65,14
66,15
67,14
68,15
69,14
70,14
71,15
72,15
73,14
74,15
75,16
76,15
77,15
78,16
79,16
80,16
81,16
82,16
83,17
84,16
85,17
86,17
87,17
88,16
89,17
90,17
91,18
92,19
93,18
94,18
95,18
96,18
97,18
98,19
99,18
100,18
